,state_abb,state,tot_cases_20,tot_deaths_20,tot_cases_21,tot_deaths_21,tot_cases_22,tot_deaths_22
0,AK,Alaska,45771,281,151583,947,280767,1304
1,AL,Alabama,361998,7190,904464,16753,1504180,20239
2,AR,Arkansas,225138,3676,566486,9148,938398,11944
3,AZ,Arizona,520559,8864,1381488,24229,2258040,31162
4,CA,California,2231552,25374,5477529,75847,11137381,94351
5,CO,Colorado,347282,4814,958011,10271,1637603,13192
6,CT,Connecticut,185708,5995,510188,9160,879184,11294
7,DC,District of Columbia,28983,786,94286,1211,166784,1382
8,DE,Delaware,57512,1127,178886,2400,303933,3072
9,FL,Florida,1317531,23304,4249662,63198,7061296,80305
10,GA,Georgia,666452,10934,1839879,31443,2883318,39875
11,HI,Hawaii,21026,286,109576,1079,332278,1643
12,IA,Iowa,280669,3891,582348,7858,847235,9968
13,ID,Idaho,141077,1436,319382,4162,490946,5125
14,IL,Illinois,963389,17978,2181009,31017,3708916,39407
15,IN,Indiana,511698,8236,1246854,19037,1905229,24506
16,KS,Kansas,222433,2741,519544,7001,868911,9027
17,KY,Kentucky,274973,4860,879636,13065,1552898,16795
18,LA,Louisiana,315275,7488,828695,14986,1440257,17899
19,MA,Massachusetts,375178,12613,1140614,20273,2013992,21463
20,MD,Maryland,276662,6257,720888,11875,1230484,15234
21,ME,Maine,25924,347,154173,1531,284366,2534
22,MI,Michigan,589728,13816,1710271,29019,2786213,38121
23,MN,Minnesota,415302,5382,1022212,10656,1639213,13471
24,MO,Missouri,449569,6856,1006913,16074,1618991,21335
25,MS,Mississippi,221928,5646,543737,10450,918874,12821
26,MT,Montana,81555,961,197724,2906,305561,3502
27,NC,North Carolina,547394,7926,1693273,19832,3143078,26366
28,ND,North Dakota,92770,1309,174626,2012,265310,2354
29,NE,Nebraska,167233,1651,342939,3341,532733,4472
30,NH,New Hampshire,44028,758,198667,1961,345443,2666
31,NJ,New Jersey,527784,19042,1564253,29037,2689371,34601
32,NM,New Mexico,142864,2385,350043,5855,613277,8475
33,NV,Nevada,224731,3125,501181,8420,843526,11417
34,NY,New York,548154,12566,1924606,23611,3176374,28895
35,OH,Ohio,700380,8962,2016095,29447,3074826,39490
36,OK,Oklahoma,325524,4564,708938,11555,1182071,14765
37,OR,Oregon,113909,1477,421263,5655,881996,8453
38,PA,Pennsylvania,648569,15978,2036424,36705,3202811,46831
39,RI,Rhode Island,85398,1778,222744,3074,398262,3645
40,SC,South Carolina,317436,5308,978169,14679,1687640,18299
41,SD,South Dakota,99164,1488,179204,2486,258510,3002
42,TN,Tennessee,576070,6810,1424922,20880,2312410,27527
43,TX,Texas,1756172,31282,4576799,74491,7779837,88751
44,UT,Utah,276612,1269,636992,3787,1029759,4981
45,VA,Virginia,354767,5081,1133238,15601,2054849,21559
46,VT,Vermont,6970,145,60788,453,130595,681
47,WA,Washington,244803,3461,859166,9853,1791045,14103
48,WI,Wisconsin,520438,5242,1120669,11173,1840060,15105
49,WV,West Virginia,85334,1338,328162,5336,588317,7301
50,WY,Wyoming,44409,438,115638,1526,175290,1884
